cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
0,6745,93,0,63,30,866,0
0,17018,64,0,36,28,2140,0
8,960957,200,0,200,0,82090,2
0,10947,66,0,40,26,1288,0
6,9611,51,0,29,22,1362,0
400,961388,19894,0,0,19894,82776,1
0,11304,69,0,40,29,1342,0
4165,1133468,83524,29203,3074,51247,108047,1
0,961026,74,0,74,0,82088,2
2,239449,72,0,46,26,22304,0
20288,398820,134396,134396,0,0,46920,2
3408,938532,84396,0,0,84396,82116,2
0,10977,67,0,40,27,1272,0
0,15616,58,0,41,17,2086,0
0,752385,196422,65536,65350,65536,160154,1
3492,943616,96035,0,0,96035,82560,2
0,10232,53,0,32,21,1214,0
0,14968,58,0,30,28,1762,0
1480,806295,8019,0,8019,0,68900,2
0,13157,57,0,34,23,1802,0
3950,1119518,83406,26932,3239,53235,106564,1
0,960787,35,0,23,12,82424,1
4098,1118668,81939,23262,2701,55976,106524,1
0,11144,49,0,30,19,1738,0
3490,948886,101579,0,0,101579,83024,2
0,9427,60,0,38,22,1114,0
1968,1147860,61846,61846,0,0,117540,1
1486,827217,8163,0,8163,0,70688,2
2754,1074485,77152,23719,1547,51886,101900,1
2304,724974,196348,65515,65297,65536,150478,1
578,960911,19763,0,0,19763,82744,1
0,229301,83,0,51,32,21610,0
18112,353294,119361,119361,0,0,41564,2
9871,584682,188929,65454,57940,65536,156360,1
20254,397426,129393,129395,0,0,46756,2
0,960913,78,0,68,10,82406,1
3566,1113613,87914,24331,3631,59952,106734,1
3356,927160,95044,0,0,95044,81122,2
3446,1088639,81084,25787,3144,52153,103084,1
0,239082,141,0,91,50,22586,0
6,9247,101,0,58,43,1488,0
5147,1168142,86115,26920,3265,55930,112396,1
0,13797,80,0,48,32,1902,0
3888,1103586,70720,20937,2547,47236,104728,1
3644,1062967,66072,21150,1935,42987,100468,1
3386,747757,194429,65412,63481,65536,151856,1
1494,829372,8012,0,8012,0,70872,2
3422,931818,98113,0,0,98113,81530,2
0,10765,56,0,32,24,1248,0
2886,786355,87402,0,0,87402,68800,2
4754,569493,192047,65474,61037,65536,150147,1
534,960715,20168,0,0,20168,82718,1
3268,934195,91499,0,0,91499,81738,2
638,961133,19553,0,0,19553,82738,1
0,1021233,65535,65535,0,0,104576,1
0,10220,48,0,29,19,1212,0
0,10731,80,0,48,32,1610,0
2790,665612,196192,65536,65120,65536,160854,1
0,18951,55,0,34,21,2180,0
5694,653540,193457,65512,62409,65536,161092,1
20374,398276,132394,132394,0,0,46856,2
0,961076,80,0,69,11,82438,1
0,961415,70,0,53,17,82468,1
3330,919432,85848,0,0,85848,80446,2
0,10747,54,0,30,24,1362,0
0,239220,141,0,85,56,22230,0
0,8669,81,0,47,34,998,0
0,11225,138,0,93,45,1810,0
17952,352614,118702,118703,0,0,41484,2
1480,816524,7576,0,7576,0,69776,2
3464,939782,83416,0,0,83416,82226,2
0,8242,154,0,95,59,996,0
7468,571635,188357,65536,57285,65536,148896,1
4876,1191816,92506,37669,2914,51923,115284,1
0,8511,61,0,34,27,1054,0
1518,1148203,60884,60884,0,0,117576,1
700,961687,18608,0,0,18608,82798,1
710,961442,18360,0,0,18360,82788,1
348,961096,28034,0,0,28034,82748,1
0,12137,51,0,30,21,1824,0
1110,1146520,60504,60504,0,0,117406,1
20408,400418,133951,133951,0,0,47108,2
1264,697835,196361,65536,65289,65536,154044,1
0,14767,80,0,48,32,1816,0
1602,1040937,62028,62028,0,0,106592,1
0,8885,50,0,28,22,1254,0
372,960910,19603,0,0,19603,82730,1
