cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
4309,1124890,79085,21840,3651,53594,107053,2
0,219175,51,0,30,21,20478,0
12180,705996,188674,65512,57626,65536,164849,1
7092,592948,194070,65411,63123,65536,151120,1
0,10522,53,0,33,20,1504,0
4138,1130570,89202,28119,4308,56775,108434,2
10,735636,195615,65536,64543,65536,161417,1
2096,1074036,76310,27077,1841,47392,101748,2
11533,560303,188591,65536,57519,65536,158685,1
0,13639,57,0,34,23,1828,0
3548,1118888,83858,25912,1774,56172,107042,2
0,6918,99,0,56,43,870,0
3340,1085275,64319,19879,1921,42519,103070,2
9744,549289,190801,65390,59875,65536,144114,1
0,9464,57,0,32,25,1174,0
4360,1150714,72416,21976,1411,49029,110582,2
6502,1182825,87682,26959,4250,56470,114332,2
0,12544,54,0,30,24,1642,0
8437,550569,190362,65363,59463,65536,152343,1
2794,1099799,69327,26721,1991,40615,105254,2
5572,559200,195901,65533,64832,65536,154860,1
11520,576847,188405,65387,57482,65536,151892,1
6926,734046,196280,65285,65459,65536,155130,1
6547,580810,190145,65536,59073,65536,157611,1
0,8525,54,0,30,24,1064,0
3830,1111681,85426,23644,4038,57744,106592,2
6132,719436,196466,65536,65394,65536,163130,1
0,709256,196150,65433,65181,65536,156748,1
0,15174,73,0,43,30,2040,0
8308,555518,196335,65536,65263,65536,156818,1
1784,570379,196530,65531,65463,65536,145064,1
0,11637,142,0,92,50,1362,0
0,12861,56,0,33,23,1506,0
8548,567360,189945,65536,58873,65536,157144,1
8,11049,75,0,44,31,1362,0
3512,1105040,83465,25184,2411,55870,105312,2
0,10755,64,0,40,24,1278,0
0,16016,57,0,32,25,1964,0
5066,1155358,71176,22187,2043,46946,111100,2
2454,663972,196123,65536,65051,65536,157306,1
0,7153,173,0,99,74,964,0
5008,1122101,65512,21367,1953,42192,107656,2
0,233464,65,0,39,26,21826,0
10680,731050,196430,65483,65411,65536,156483,1
6784,550135,188848,65480,57832,65536,148600,1
5078,1183913,83415,29892,3873,49650,114674,2
8248,745137,196281,65534,65211,65536,164852,1
2636,1072536,71236,18827,954,51455,101926,2
9942,563298,192400,65145,61719,65536,154512,1
3528,1105666,85291,25058,3213,57020,105322,2
638,640169,194176,65536,63104,65536,153166,1
4148,1115249,90668,30578,3975,56115,106172,2
7841,588801,190082,65521,59025,65536,148454,1
12080,647280,190576,65099,59941,65536,150297,1
0,10357,50,0,31,19,1424,0
5250,637694,196437,65529,65372,65536,154224,1
7925,657004,194243,65536,63171,65536,163283,1
0,14015,65,0,42,23,2210,0
3358,1097219,68749,24601,1843,42305,105130,2
7515,565275,185152,65534,54082,65536,156185,1
