cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label,tcp_to_udp,tcp_to_icmp,pps_to_cps,kbps_to_pps,kbps_to_cps
616,961061,22084,0,0,22084,82734,1,0.0,0.0,134.30844155844156,11.616276258853675,1560.1639610389611
4,835875,65327,0,0,65327,71978,1,0.0,0.0,17994.5,11.61292339325905,208968.75
0,961305,80,0,69,11,82444,1,6.2727272727272725,69.0,82444.0,11.660096550385717,961305.0
0,961030,97,0,84,13,82416,1,6.461538461538462,84.0,82416.0,11.660721219180742,961030.0
0,960864,104,0,91,13,82386,1,7.0,91.0,82386.0,11.662952443376302,960864.0
5482,1234121,82689,27710,3440,51539,120094,1,0.06674557131492656,0.12414290869722122,21.90696825975921,10.276291904674672,225.12240058372856
3250,667200,194639,65509,63591,65536,161526,1,0.9703216552734375,0.970721580240883,49.70030769230769,4.130604360907841,205.2923076923077
1162,1147789,60025,60025,0,0,117536,1,0.0,0.0,101.14974182444062,9.765425061257828,987.7702237521514
5982,1187287,87171,25078,3691,58402,114340,1,0.06319989041471183,0.14718079591673977,19.1140086927449,10.383828931257653,198.47659645603477
0,961025,52,0,38,14,82430,1,2.7142857142857144,38.0,82430.0,11.658680092199441,961025.0
4744,577666,189129,65534,58059,65536,155031,1,0.8859100341796875,0.8859370708334605,32.679384485666105,3.7261321929162556,121.7677065767285
3498,1076560,86086,25234,4466,56386,102296,1,0.07920405774483028,0.17698343504795117,29.244139508290452,10.523969656682569,307.7644368210406
7215,665439,193889,65448,62905,65536,165374,1,0.9598541259765625,0.9611447255836695,22.92085932085932,4.023842925731977,92.22993762993762
5782,1200698,87750,28921,4798,54031,115734,1,0.08880087357257871,0.16590021091940113,20.016257350397787,10.374634938738833,207.66136285022483
8155,571123,190909,65361,60012,65536,149812,1,0.91571044921875,0.918162206820581,18.37057020232986,3.812264705097055,70.03347639484979
1122,672598,194537,65536,63465,65536,152038,1,0.9683990478515625,0.9683990478515625,135.50623885918003,4.423880871887292,599.463458110517
10068,654862,195459,65440,64483,65536,166860,1,0.9839324951171875,0.9853759168704157,16.573301549463647,3.9246194414479203,65.04390147000397
2120,670408,194105,65508,63061,65536,153634,1,0.9622344970703125,0.9626457837210722,72.4688679245283,4.363669500240832,316.23018867924526
420,960532,19778,0,0,19778,82696,1,0.0,0.0,196.89523809523808,11.61521718100029,2286.980952380952
1144,1153671,59395,59395,0,0,118136,1,0.0,0.0,103.26573426573427,9.765617593282318,1008.4536713286714
0,960914,71,0,63,8,82456,1,7.875,63.0,82456.0,11.653657708353546,960914.0
0,960851,69,0,56,13,82410,1,4.3076923076923075,56.0,82410.0,11.659398131294745,960851.0
4030,1137763,88376,30938,2734,54701,109162,1,0.049980804738487414,0.08837028896502683,27.087344913151366,10.42270203917114,282.3233250620347
5322,558765,189169,65433,58200,65536,145014,1,0.8880615234375,0.8894594470679932,27.248027057497183,3.853179692995159,104.99154453213077
3150,1090408,87320,24992,2713,59615,103576,1,0.045508680701165816,0.10855473751600513,32.88126984126984,10.527612574341546,346.1612698412698
476,961386,20142,0,0,20142,82768,1,0.0,0.0,173.88235294117646,11.615431084477093,2019.718487394958
474,961338,19029,0,0,19029,82776,1,0.0,0.0,174.63291139240508,11.613728616990432,2028.139240506329
116,961195,81,0,76,5,82438,1,15.2,76.0,710.6724137931035,11.659610859069847,8286.163793103447
0,961271,65,0,53,12,82416,1,4.416666666666667,53.0,82416.0,11.663645408658512,961271.0
3010,1084711,81539,24069,3334,54136,102216,1,0.06158563617555785,0.13851842619136648,33.95880398671096,10.61194920560382,360.36910299003324
0,961361,98,0,87,11,82430,1,7.909090909090909,87.0,82430.0,11.662756278054106,961361.0
